real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.775, 0.889, 789.0%, 14.71%
0.2, 0.775, 0.889, 344.5%, 14.71%
0.3, 0.775, 0.889, 196.333%, 14.71%
0.4, 0.775, 0.889, 122.25%, 14.71%
0.5, 0.775, 0.889, 77.8%, 14.71%
0.6, 0.775, 0.889, 48.167%, 14.71%
0.7, 0.775, 0.889, 27.0%, 14.71%
0.8, 0.778, 0.889, 11.125%, 14.267%
0.9, 0.91, 0.775, 13.889%, 14.835%
1.0, 1.0, 0.775, 22.5%, 22.5%
1.1, 1.099, 0.775, 29.545%, 29.481%
1.2, 1.201, 0.775, 35.417%, 35.47%
1.3, 1.318, 0.775, 40.385%, 41.199%
1.4, 1.331, 0.775, 44.643%, 41.773%
1.5, 1.331, 0.775, 48.333%, 41.773%
1.6, 1.839, 0.775, 51.562%, 57.858%
1.7, 1.839, 0.775, 54.412%, 57.858%
1.8, 1.839, 0.775, 56.944%, 57.858%
1.9, 1.945, 0.775, 59.211%, 60.154%
2.0, 1.945, 0.775, 61.25%, 60.154%
2.1, 1.945, 0.775, 63.095%, 60.154%
2.2, 1.945, 0.775, 64.773%, 60.154%
2.3, 1.945, 0.775, 66.304%, 60.154%
2.4, 1.945, 0.775, 67.708%, 60.154%
2.5, 1.945, 0.775, 69.0%, 60.154%
2.6, 1.945, 0.775, 70.192%, 60.154%
2.7, 1.945, 0.775, 71.296%, 60.154%
2.8, 1.945, 0.775, 72.321%, 60.154%
2.9, 1.945, 0.889, 69.345%, 54.293%
3.0, 1.945, 0.889, 70.367%, 54.293%
3.1, 1.945, 0.889, 71.323%, 54.293%
3.2, 1.945, 0.775, 75.781%, 60.154%
3.3, 1.945, 0.775, 76.515%, 60.154%
3.4, 1.945, 0.775, 77.206%, 60.154%
3.5, 1.945, 0.889, 74.6%, 54.293%
3.6, 1.945, 0.889, 75.306%, 54.293%
3.7, 1.945, 0.889, 75.973%, 54.293%
3.8, 1.945, 0.889, 76.605%, 54.293%
3.9, 1.945, 1.154, 70.41%, 40.668%
4.0, 1.945, 0.889, 77.775%, 54.293%
4.1, 1.945, 0.889, 78.317%, 54.293%
4.2, 1.945, 0.889, 78.833%, 54.293%
4.3, 1.945, 1.154, 73.163%, 40.668%
4.4, 1.945, 0.889, 79.795%, 54.293%
4.5, 1.945, 0.775, 82.778%, 60.154%
4.6, 1.945, 0.775, 83.152%, 60.154%
4.7, 1.945, 0.775, 83.511%, 60.154%
4.8, 1.945, 0.889, 81.479%, 54.293%
4.9, 1.945, 0.775, 84.184%, 60.154%
5.0, 1.945, 0.775, 84.5%, 60.154%
Average error from real rotations: 87.597%
Average error from expected rotations: 46.669%
