real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 1.1, 1000.0%, 1000.0%
0.2, 0.2, 1.1, 450.0%, 450.0%
0.3, 0.3, 1.0, 233.333%, 233.333%
0.4, 0.4, 1.1, 175.0%, 175.0%
0.5, 0.5, 1.1, 120.0%, 120.0%
0.6, 0.6, 0.6, 0.0%, 0.0%
0.7, 0.7, 1.1, 57.143%, 57.143%
0.8, 0.8, 1.1, 37.5%, 37.5%
0.9, 0.9, 1.1, 22.222%, 22.222%
1.0, 1.0, 1.1, 10.0%, 10.0%
1.1, 1.1, 1.1, 0.0%, 0.0%
1.2, 1.2, 1.1, 8.333%, 8.333%
1.3, 1.3, 1.1, 15.385%, 15.385%
1.4, 1.4, 1.1, 21.429%, 21.429%
1.5, 1.5, 1.1, 26.667%, 26.667%
1.6, 1.6, 1.1, 31.25%, 31.25%
1.7, 1.7, 1.1, 35.294%, 35.294%
1.8, 1.8, 1.1, 38.889%, 38.889%
1.9, 1.9, 1.1, 42.105%, 42.105%
2.0, 2.0, 1.1, 45.0%, 45.0%
2.1, 2.1, 1.1, 47.619%, 47.619%
2.2, 2.2, 1.1, 50.0%, 50.0%
2.3, 2.3, 2.2, 4.348%, 4.348%
2.4, 2.4, 2.2, 8.333%, 8.333%
2.5, 2.5, 2.5, 0.0%, 0.0%
2.6, 2.6, 2.9, 11.538%, 11.538%
2.7, 2.7, 2.9, 7.407%, 7.407%
2.8, 2.8, 2.9, 3.571%, 3.571%
2.9, 2.9, 2.9, 0.0%, 0.0%
3.0, 3.0, 3.4, 13.333%, 13.333%
3.1, 3.1, 3.4, 9.677%, 9.677%
3.2, 3.2, 3.4, 6.25%, 6.25%
3.3, 3.3, 3.4, 3.03%, 3.03%
3.4, 3.4, 3.6, 5.882%, 5.882%
3.5, 3.5, 3.6, 2.857%, 2.857%
3.6, 3.6, 3.6, 0.0%, 0.0%
3.7, 3.7, 3.6, 2.703%, 2.703%
3.8, 3.8, 3.6, 5.263%, 5.263%
3.9, 3.9, 3.6, 7.692%, 7.692%
4.0, 4.0, 3.6, 10.0%, 10.0%
4.1, 4.1, 3.6, 12.195%, 12.195%
4.2, 4.2, 3.6, 14.286%, 14.286%
4.3, 4.3, 3.6, 16.279%, 16.279%
4.4, 4.4, 4.7, 6.818%, 6.818%
4.5, 4.5, 4.7, 4.444%, 4.444%
4.6, 4.6, 4.7, 2.174%, 2.174%
4.7, 4.7, 4.7, 0.0%, 0.0%
4.8, 4.8, 4.7, 2.083%, 2.083%
4.9, 4.9, 4.7, 4.082%, 4.082%
5.0, 5.0, 4.7, 6.0%, 6.0%
Average error from real rotations: 52.748%
Average error from expected rotations: 52.748%
